instrument_id,name,isin,ticker_yahoo,asset_class,sector,region,currency
AAPL,Apple,US0378331005,AAPL,Equity,Information Technology,USA,USD
MSFT,Microsoft,US5949181045,MSFT,Equity,Information Technology,USA,USD
NVDA,NVIDIA,US67066G1040,NVDA,Equity,Semiconductors,USA,USD
BABA,Alibaba ADR,US01609W1027,BABA,Equity,Consumer Discretionary,China,USD
SPY,SPDR S&P 500 ETF,US78462F1030,SPY,ETF Equity,Broad Equity,USA,USD
QQQ,Invesco QQQ ETF,US46090E1038,QQQ,ETF Equity,Technology,USA,USD
AGG,iShares Core U.S. Aggregate Bond ETF,US4642872265,AGG,ETF Bond,Aggregate Bonds,USA,USD
GLD,SPDR Gold Shares,US78463V1070,GLD,ETF Commodity,Gold,Global,USD
BTC_EUR,Bitcoin,—,BTC-EUR,Crypto,Crypto,Global,EUR
ETH_EUR,Ethereum,—,ETH-EUR,Crypto,Crypto,Global,EUR
